"name","city","income","credit_score","loan_amount","years_employed","points","loan_approved","credit_category","employment_level","loan_to_income","debt_burden_category","high_loan"
"Jennifer Oliver","East Michelle",30851,481,28020,1,10,FALSE,"Poor","Entry (0-10 yrs)",0.908236361868335,"High (≥40%)",FALSE
"Tim Patton","Phambury",129458,573,11433,6,55,FALSE,"Poor","Entry (0-10 yrs)",0.088314356779805,"Low (<20%)",FALSE
"Andrew Ruiz","Port Samantha",135620,658,21000,14,70,TRUE,"Fair","Mid (11-25 yrs)",0.1548444182274,"Low (<20%)",FALSE
"Matthew Ross","Michelleview",50926,659,43040,32,50,FALSE,"Fair","Senior (26+ yrs)",0.84514786160311,"High (≥40%)",TRUE
"William Herrera","North Natalieview",121506,482,39049,16,50,FALSE,"Poor","Mid (11-25 yrs)",0.321375076127928,"Moderate (20-40%)",FALSE
"Kyle Reed","Samuelhaven",85392,418,26244,36,45,FALSE,"Poor","Senior (26+ yrs)",0.307335581787521,"Moderate (20-40%)",FALSE
"Andrew Graham","West Ryan",74597,638,41839,20,50,FALSE,"Fair","Mid (11-25 yrs)",0.560867058997011,"High (≥40%)",TRUE
"Belinda Mccullough","Elizabethmouth",66421,712,46692,18,60,TRUE,"Good","Mid (11-25 yrs)",0.702970446093856,"High (≥40%)",TRUE
"Cheryl Ortega","Byrdburgh",50379,608,27612,35,50,FALSE,"Fair","Senior (26+ yrs)",0.548085511820401,"High (≥40%)",FALSE
"Elizabeth Clark","Stevenmouth",58221,518,34500,30,35,FALSE,"Poor","Senior (26+ yrs)",0.592569691348482,"High (≥40%)",FALSE
"Toni Fitzgerald","West Zacharymouth",130072,395,16392,19,55,FALSE,"Poor","Mid (11-25 yrs)",0.126022510609509,"Low (<20%)",FALSE
"Curtis Johnson","South Cheryl",74118,374,30846,26,35,FALSE,"Poor","Senior (26+ yrs)",0.416174208694244,"High (≥40%)",FALSE
"Laura Higgins","Snyderbury",43396,451,43995,0,10,FALSE,"Poor","Entry (0-10 yrs)",1.01380311549452,"High (≥40%)",TRUE
"Shannon Mcclure","Robinsonhaven",42156,775,4291,35,70,TRUE,"Excellent","Senior (26+ yrs)",0.101788594743334,"Low (<20%)",FALSE
"Ryan Bryant","Contrerasside",79797,624,30004,39,60,TRUE,"Fair","Senior (26+ yrs)",0.376004110430217,"Moderate (20-40%)",FALSE
"Stephanie Simmons","Merrittfort",42676,760,17986,15,60,TRUE,"Excellent","Mid (11-25 yrs)",0.421454681788359,"High (≥40%)",FALSE
"Destiny Strickland","Simsview",77052,750,6077,18,90,TRUE,"Excellent","Mid (11-25 yrs)",0.0788688158646109,"Low (<20%)",FALSE
"George Orozco","East Edwardfurt",141082,456,47295,13,50,FALSE,"Poor","Mid (11-25 yrs)",0.335230575126522,"Moderate (20-40%)",TRUE
"Jason Daniels","Brownchester",75082,698,39278,1,50,FALSE,"Good","Entry (0-10 yrs)",0.523134706054713,"High (≥40%)",FALSE
"Pamela James","West Kennethfurt",109131,729,36272,34,75,TRUE,"Good","Senior (26+ yrs)",0.332371186922139,"Moderate (20-40%)",FALSE
"Stephanie Freeman","Ryantown",64671,698,23028,25,65,TRUE,"Good","Mid (11-25 yrs)",0.356079231804054,"Moderate (20-40%)",FALSE
"Sara Calhoun","South Brittanytown",135791,385,43123,27,50,FALSE,"Poor","Senior (26+ yrs)",0.317568911047124,"Moderate (20-40%)",TRUE
"Joel Williams","Murphymouth",35695,634,23118,24,40,FALSE,"Fair","Mid (11-25 yrs)",0.647653733015829,"High (≥40%)",FALSE
"Trevor Fisher","South Andrewside",125647,353,23935,14,55,FALSE,"Poor","Mid (11-25 yrs)",0.190494003040264,"Low (<20%)",FALSE
"Rachael Pearson","East Jamestown",90217,456,16633,8,45,FALSE,"Poor","Entry (0-10 yrs)",0.184366582794817,"Low (<20%)",FALSE
"Brian Gould","Lyonsstad",100284,471,40707,38,45,FALSE,"Poor","Senior (26+ yrs)",0.405917195165729,"High (≥40%)",TRUE
"Michelle Strickland","West Daniel",46361,326,21444,36,25,FALSE,"Poor","Senior (26+ yrs)",0.462543948577468,"High (≥40%)",FALSE
"Tina Sanders","North Brittany",79615,548,7678,19,55,FALSE,"Poor","Mid (11-25 yrs)",0.0964391132324311,"Low (<20%)",FALSE
"Lindsay Martinez","West Amandastad",40328,370,34158,21,25,FALSE,"Poor","Mid (11-25 yrs)",0.847004562586788,"High (≥40%)",FALSE
"Jason Henry","Yumouth",102357,456,29540,11,50,FALSE,"Poor","Mid (11-25 yrs)",0.288597751008724,"Moderate (20-40%)",FALSE
"Tracie Nelson","Marshallshire",68427,574,22122,15,40,FALSE,"Poor","Mid (11-25 yrs)",0.323293436801263,"Moderate (20-40%)",FALSE
"Angelica Keith","Port Steven",138711,688,23046,1,65,TRUE,"Good","Entry (0-10 yrs)",0.166143997231654,"Low (<20%)",FALSE
"Frederick Freeman MD","Matthewview",112397,310,34857,12,50,FALSE,"Poor","Mid (11-25 yrs)",0.310123935692234,"Moderate (20-40%)",FALSE
"Nathan Freeman","Lake Thomas",111070,802,30371,1,75,TRUE,"Excellent","Entry (0-10 yrs)",0.27344017286396,"Moderate (20-40%)",FALSE
"Daniel Holt","Elizabethstad",146057,784,37272,33,85,TRUE,"Excellent","Senior (26+ yrs)",0.255188043024299,"Moderate (20-40%)",FALSE
"Zachary Pierce","Jacquelineview",142945,613,17475,14,70,TRUE,"Fair","Mid (11-25 yrs)",0.122249816362937,"Low (<20%)",FALSE
"Corey Wilson","East Javier",77400,795,19120,37,85,TRUE,"Excellent","Senior (26+ yrs)",0.24702842377261,"Moderate (20-40%)",FALSE
"Kelly Campbell","Port Jamesbury",105674,669,12759,19,70,TRUE,"Fair","Mid (11-25 yrs)",0.120739254688949,"Low (<20%)",FALSE
"Joseph Hill","New Kellyberg",55203,802,7723,0,70,TRUE,"Excellent","Entry (0-10 yrs)",0.139901816930239,"Low (<20%)",FALSE
"Julie Alexander","North Johnny",122349,789,8476,4,85,TRUE,"Excellent","Entry (0-10 yrs)",0.0692772315262078,"Low (<20%)",FALSE
"Benjamin Soto","East Edwardshire",39116,611,6582,15,50,FALSE,"Fair","Mid (11-25 yrs)",0.168268739134881,"Low (<20%)",FALSE
"Phillip Obrien","Port Alexandra",36006,761,30014,19,60,TRUE,"Excellent","Mid (11-25 yrs)",0.83358329167361,"High (≥40%)",FALSE
"Wanda Torres","New Susanville",116673,512,41993,13,50,FALSE,"Poor","Mid (11-25 yrs)",0.359920461460664,"Moderate (20-40%)",TRUE
"Brad Allen","East Aaronmouth",59871,781,20087,2,65,TRUE,"Excellent","Entry (0-10 yrs)",0.33550466837033,"Moderate (20-40%)",FALSE
"Michael Warner","Jonesbury",131327,570,41963,37,50,FALSE,"Poor","Senior (26+ yrs)",0.319530637264234,"Moderate (20-40%)",TRUE
"Taylor Coleman","Lake Edward",67930,572,10321,4,35,FALSE,"Poor","Entry (0-10 yrs)",0.151935816281466,"Low (<20%)",FALSE
"Ricky Larson","Scottmouth",40458,611,46857,25,40,FALSE,"Fair","Mid (11-25 yrs)",1.15816402194869,"High (≥40%)",TRUE
"Kathryn Snyder","New Billchester",142108,630,40564,16,65,TRUE,"Fair","Mid (11-25 yrs)",0.285444872913559,"Moderate (20-40%)",TRUE
"Darryl Craig","Port Emilyview",60512,341,12481,30,45,FALSE,"Poor","Senior (26+ yrs)",0.206256610259122,"Moderate (20-40%)",FALSE
"Jessica Ramirez","Waltersfort",143571,393,31802,22,55,FALSE,"Poor","Mid (11-25 yrs)",0.221507128877002,"Moderate (20-40%)",FALSE
"Frank Garcia","West Robert",43238,807,19888,25,65,TRUE,"Excellent","Mid (11-25 yrs)",0.459965770849716,"High (≥40%)",FALSE
"Krista Gibson","Johnnyville",79823,713,34724,0,50,FALSE,"Good","Entry (0-10 yrs)",0.435012465078987,"High (≥40%)",FALSE
"Kimberly Gutierrez","New Michael",66434,810,41986,28,75,TRUE,"Excellent","Senior (26+ yrs)",0.631995664870398,"High (≥40%)",TRUE
"Christina Dunn","Samuelfort",89429,424,2891,40,55,FALSE,"Poor","Senior (26+ yrs)",0.0323273211150745,"Low (<20%)",FALSE
"Cynthia Moore","New Rickybury",113320,416,31241,7,45,FALSE,"Poor","Entry (0-10 yrs)",0.275688316272503,"Moderate (20-40%)",FALSE
"Brittany Cantu","Williamview",139328,725,32621,30,80,TRUE,"Good","Senior (26+ yrs)",0.234130971520441,"Moderate (20-40%)",FALSE
"Juan Reyes","Port Chad",77819,724,23274,32,70,TRUE,"Good","Senior (26+ yrs)",0.299078631182616,"Moderate (20-40%)",FALSE
"Aaron Barber","Grimesmouth",51319,795,23618,21,70,TRUE,"Excellent","Mid (11-25 yrs)",0.460219411913716,"High (≥40%)",FALSE
"Kimberly Gibson","Mollybury",78520,692,16306,26,75,TRUE,"Good","Senior (26+ yrs)",0.207666836474783,"Moderate (20-40%)",FALSE
"Patrick Thornton","Hughesberg",76566,807,3426,8,90,TRUE,"Excellent","Entry (0-10 yrs)",0.0447457095838884,"Low (<20%)",FALSE
"Leslie Kane","Garciamouth",57460,315,48346,9,30,FALSE,"Poor","Entry (0-10 yrs)",0.841385311521058,"High (≥40%)",TRUE
"Matthew Moore","Harringtonview",117841,646,41845,25,65,TRUE,"Fair","Mid (11-25 yrs)",0.355097122393734,"Moderate (20-40%)",TRUE
"Sarah Phelps","Finleyfort",64993,336,41465,4,25,FALSE,"Poor","Entry (0-10 yrs)",0.637991783730556,"High (≥40%)",TRUE
"Michael Mitchell","Lake Christopher",121988,400,42533,6,45,FALSE,"Poor","Entry (0-10 yrs)",0.348665442502541,"Moderate (20-40%)",TRUE
"Michael Berger","West Lauraport",119593,667,25565,27,70,TRUE,"Fair","Senior (26+ yrs)",0.21376669203047,"Moderate (20-40%)",FALSE
"Joseph Knight","East Gregory",114939,691,41613,15,75,TRUE,"Good","Mid (11-25 yrs)",0.362044214757393,"Moderate (20-40%)",TRUE
"Mr. David Little MD","Port Stevenport",39358,461,5840,28,35,FALSE,"Poor","Senior (26+ yrs)",0.148381523451395,"Low (<20%)",FALSE
"Victoria Evans","Vaughnmouth",109840,609,14055,24,70,TRUE,"Fair","Mid (11-25 yrs)",0.127958849235251,"Low (<20%)",FALSE
"Ashley James","Baileyport",113227,322,44137,25,50,FALSE,"Poor","Mid (11-25 yrs)",0.389809851007269,"Moderate (20-40%)",TRUE
"Keith Jennings","New Julieport",52431,535,40784,22,35,FALSE,"Poor","Mid (11-25 yrs)",0.777860426083805,"High (≥40%)",TRUE
"Connor King","Lake Colton",100010,340,21246,28,55,FALSE,"Poor","Senior (26+ yrs)",0.212438756124388,"Moderate (20-40%)",FALSE
"Jacob Anderson","Markchester",125568,479,14159,8,50,FALSE,"Poor","Entry (0-10 yrs)",0.112759620285423,"Low (<20%)",FALSE
"Sherri Diaz","Mariaview",62087,793,20342,21,75,TRUE,"Excellent","Mid (11-25 yrs)",0.327637025464268,"Moderate (20-40%)",FALSE
"Julie Jones","Port Erica",51417,706,37524,23,60,TRUE,"Good","Mid (11-25 yrs)",0.729797537779334,"High (≥40%)",FALSE
"James Baker","South Miguelview",90589,690,42847,23,65,TRUE,"Good","Mid (11-25 yrs)",0.472982370928038,"High (≥40%)",TRUE
"David Johnson","Rosebury",79735,364,42641,29,40,FALSE,"Poor","Senior (26+ yrs)",0.534783971906942,"High (≥40%)",TRUE
"Elizabeth Ortiz","North Sophia",65382,611,33284,7,45,FALSE,"Fair","Entry (0-10 yrs)",0.509069774555688,"High (≥40%)",FALSE
"Stephen Taylor","Watsonside",113886,729,39491,9,70,TRUE,"Good","Entry (0-10 yrs)",0.346759039741496,"Moderate (20-40%)",FALSE
"Mary Bass","Crosbyview",120198,333,46238,23,50,FALSE,"Poor","Mid (11-25 yrs)",0.384681941463252,"Moderate (20-40%)",TRUE
"Jeremy Young","Corystad",103000,667,4968,25,75,TRUE,"Fair","Mid (11-25 yrs)",0.0482330097087379,"Low (<20%)",FALSE
"Walter Rush","Davisborough",58785,321,4314,21,50,FALSE,"Poor","Mid (11-25 yrs)",0.0733860678744578,"Low (<20%)",FALSE
"Cameron Cunningham","Port Kathyborough",119733,521,16269,21,55,FALSE,"Poor","Mid (11-25 yrs)",0.135877327052692,"Low (<20%)",FALSE
"Rachel Carlson","Micheleberg",72504,433,36403,16,35,FALSE,"Poor","Mid (11-25 yrs)",0.502082643716209,"High (≥40%)",FALSE
"Ashley Delacruz","North Michael",140474,543,39591,20,50,FALSE,"Poor","Mid (11-25 yrs)",0.281838632060025,"Moderate (20-40%)",FALSE
"Derek Martinez","Foxland",130704,787,30378,23,90,TRUE,"Excellent","Mid (11-25 yrs)",0.232418288652222,"Moderate (20-40%)",FALSE
"Ashley Gordon","Lake Kristahaven",131711,608,31018,1,55,FALSE,"Fair","Entry (0-10 yrs)",0.235500451746627,"Moderate (20-40%)",FALSE
"John Morales","South Jennifermouth",37331,375,6294,20,35,FALSE,"Poor","Mid (11-25 yrs)",0.168599823203236,"Low (<20%)",FALSE
"Ana Hill","Oscarhaven",60021,601,30734,32,50,FALSE,"Fair","Senior (26+ yrs)",0.512054114393296,"High (≥40%)",FALSE
"Annette Miles","South Shannon",137715,533,28119,21,55,FALSE,"Poor","Mid (11-25 yrs)",0.204182550920379,"Moderate (20-40%)",FALSE
"Jennifer Blair","Ronaldview",34207,683,11003,30,55,FALSE,"Good","Senior (26+ yrs)",0.321659309498056,"Moderate (20-40%)",FALSE
"Ronald Davis","Lake Joanneberg",135518,361,39434,35,50,FALSE,"Poor","Senior (26+ yrs)",0.290987175135406,"Moderate (20-40%)",FALSE
"Meagan Jenkins","Parrishton",71347,594,40348,19,50,FALSE,"Fair","Mid (11-25 yrs)",0.565517821351984,"High (≥40%)",TRUE
"Kenneth Lewis","Walkerville",82581,658,37455,23,55,FALSE,"Fair","Mid (11-25 yrs)",0.453554691757184,"High (≥40%)",FALSE
"Donald Perez","Bruceside",65093,326,40911,17,35,FALSE,"Poor","Mid (11-25 yrs)",0.628500760450432,"High (≥40%)",TRUE
"Donald Farmer","Michaelburgh",38675,446,38114,25,25,FALSE,"Poor","Mid (11-25 yrs)",0.985494505494505,"High (≥40%)",FALSE
"Patrick Bonilla","Lake Alyssafurt",57653,729,30730,21,60,TRUE,"Good","Mid (11-25 yrs)",0.533016495238756,"High (≥40%)",FALSE
"Eric Nguyen","North Ericton",149686,383,18832,28,55,FALSE,"Poor","Senior (26+ yrs)",0.125810028994027,"Low (<20%)",FALSE
"Karla Ramos","Jasonhaven",104341,416,23621,27,55,FALSE,"Poor","Senior (26+ yrs)",0.226382725869984,"Moderate (20-40%)",FALSE
"Michael Watkins","Brandonfurt",144867,356,1503,13,60,TRUE,"Poor","Mid (11-25 yrs)",0.0103750336515563,"Low (<20%)",FALSE
"Daniel Taylor","Keithville",124098,307,33596,27,50,FALSE,"Poor","Senior (26+ yrs)",0.27072152653548,"Moderate (20-40%)",FALSE
"James Padilla","Charleston",71245,746,2228,29,85,TRUE,"Excellent","Senior (26+ yrs)",0.0312723699908766,"Low (<20%)",FALSE
"Shannon Johnston","Mckinneychester",57869,596,8548,25,60,TRUE,"Fair","Mid (11-25 yrs)",0.147712937842368,"Low (<20%)",FALSE
"Frederick Solis","Collierstad",115909,390,29620,6,45,FALSE,"Poor","Entry (0-10 yrs)",0.255545298466901,"Moderate (20-40%)",FALSE
"Kevin Warren","Harrellmouth",95435,526,22827,10,50,FALSE,"Poor","Entry (0-10 yrs)",0.239188976790486,"Moderate (20-40%)",FALSE
"Mark Schmidt","Port Michael",81856,451,16484,6,45,FALSE,"Poor","Entry (0-10 yrs)",0.201378029710712,"Moderate (20-40%)",FALSE
"Craig Morrison","East Stephaniefort",145957,775,37944,37,85,TRUE,"Excellent","Senior (26+ yrs)",0.259966976575293,"Moderate (20-40%)",FALSE
"Thomas Cunningham","Michellemouth",149871,454,29820,4,45,FALSE,"Poor","Entry (0-10 yrs)",0.198971115159037,"Low (<20%)",FALSE
"Mark Hogan","West Williamport",114259,772,30616,2,75,TRUE,"Excellent","Entry (0-10 yrs)",0.267952633928181,"Moderate (20-40%)",FALSE
"Ronald Jones","New Brookefurt",90142,773,39032,35,75,TRUE,"Excellent","Senior (26+ yrs)",0.433005702114442,"High (≥40%)",FALSE
"Nancy Williams","West Cassidy",48726,813,10886,3,65,TRUE,"Excellent","Entry (0-10 yrs)",0.223412551820383,"Moderate (20-40%)",FALSE
"Robert Monroe","New Debbieton",64718,553,47374,28,35,FALSE,"Poor","Senior (26+ yrs)",0.732006551500355,"High (≥40%)",TRUE
"Kelly Bishop MD","Paulmouth",48301,353,42345,21,25,FALSE,"Poor","Mid (11-25 yrs)",0.876689923604066,"High (≥40%)",TRUE
"Brandon Gregory","Johnathanberg",62325,641,6341,37,60,TRUE,"Fair","Senior (26+ yrs)",0.101740874448456,"Low (<20%)",FALSE
"Sydney Collins","Andersonland",127647,617,37629,24,65,TRUE,"Fair","Mid (11-25 yrs)",0.294789536769372,"Moderate (20-40%)",FALSE
"Erin Anderson","Lake Ellenhaven",103579,670,2194,23,85,TRUE,"Good","Mid (11-25 yrs)",0.0211818998059452,"Low (<20%)",FALSE
"Trevor Peterson","Leeberg",100644,458,6057,18,60,TRUE,"Poor","Mid (11-25 yrs)",0.060182425181829,"Low (<20%)",FALSE
"Ashley Wise","Lake Matthewberg",64438,685,11109,10,70,TRUE,"Good","Entry (0-10 yrs)",0.17239827431019,"Low (<20%)",FALSE
"Michael Weber","Lake Samuel",127912,720,24874,15,80,TRUE,"Good","Mid (11-25 yrs)",0.194461817499531,"Low (<20%)",FALSE
"Lisa Goodwin","Youngbury",106622,616,31737,12,65,TRUE,"Fair","Mid (11-25 yrs)",0.297659019714505,"Moderate (20-40%)",FALSE
"Travis Joyce","Hammondfurt",86155,814,35567,26,80,TRUE,"Excellent","Senior (26+ yrs)",0.412825721084093,"High (≥40%)",FALSE
"Ruth Solis","Port John",147679,792,25327,35,90,TRUE,"Excellent","Senior (26+ yrs)",0.171500348729339,"Low (<20%)",FALSE
"Michelle Black","West Christopherburgh",106484,579,30446,32,50,FALSE,"Poor","Senior (26+ yrs)",0.285920889523309,"Moderate (20-40%)",FALSE
"Jeffrey Potts","Port Shannon",82350,657,2747,26,70,TRUE,"Fair","Senior (26+ yrs)",0.033357619914997,"Low (<20%)",FALSE
"Jonathan Young","West Jeffreymouth",77447,401,47838,21,40,FALSE,"Poor","Mid (11-25 yrs)",0.617686934290547,"High (≥40%)",TRUE
"Brenda Mitchell","Hortonberg",58746,780,30399,39,70,TRUE,"Excellent","Senior (26+ yrs)",0.517465018894903,"High (≥40%)",FALSE
"Bobby Scott","New Shelby",48131,840,28738,7,60,TRUE,"Excellent","Entry (0-10 yrs)",0.597078805759282,"High (≥40%)",FALSE
"Cynthia Martinez","South Danielle",96784,768,5116,7,85,TRUE,"Excellent","Entry (0-10 yrs)",0.0528599768556786,"Low (<20%)",FALSE
"Kathryn Herrera","Lake Douglas",94686,739,1102,39,80,TRUE,"Good","Senior (26+ yrs)",0.0116384682001563,"Low (<20%)",FALSE
"Kenneth Lopez","New Theresaland",41915,838,36656,32,65,TRUE,"Excellent","Senior (26+ yrs)",0.87453179052845,"High (≥40%)",FALSE
"Katie Smith","Williamsfurt",129061,682,17623,1,65,TRUE,"Good","Entry (0-10 yrs)",0.136547833969983,"Low (<20%)",FALSE
"Austin Allen","Port Bonniemouth",36175,436,3905,22,35,FALSE,"Poor","Mid (11-25 yrs)",0.107947477539737,"Low (<20%)",FALSE
"Robin Thompson","Pollardfort",142866,486,9837,4,50,FALSE,"Poor","Entry (0-10 yrs)",0.0688547310066776,"Low (<20%)",FALSE
"Terri Johnson","North Kylie",44371,342,21682,19,25,FALSE,"Poor","Mid (11-25 yrs)",0.488652498253364,"High (≥40%)",FALSE
"Virginia Daniels","Benjaminborough",50033,592,24394,3,40,FALSE,"Fair","Entry (0-10 yrs)",0.487558211580357,"High (≥40%)",FALSE
"Evelyn Martinez","Samuelfurt",112240,750,26339,21,90,TRUE,"Excellent","Mid (11-25 yrs)",0.234666785459729,"Moderate (20-40%)",FALSE
"Kathleen Jimenez","Lauriechester",50969,380,29220,38,35,FALSE,"Poor","Senior (26+ yrs)",0.573289646647962,"High (≥40%)",FALSE
"Catherine Carter MD","Donnaport",133819,756,40493,27,85,TRUE,"Excellent","Senior (26+ yrs)",0.302595296632018,"Moderate (20-40%)",TRUE
"Jeremy West","Christinachester",119192,581,42908,3,55,FALSE,"Fair","Entry (0-10 yrs)",0.359990603396201,"Moderate (20-40%)",TRUE
"Mark Cox","North Douglas",85333,748,3280,8,85,TRUE,"Excellent","Entry (0-10 yrs)",0.0384376501470709,"Low (<20%)",FALSE
"Richard Diaz","Herrington",108172,457,45503,28,45,FALSE,"Poor","Senior (26+ yrs)",0.42065414340125,"High (≥40%)",TRUE
"Jacqueline Hines","New Michael",38326,621,43569,17,40,FALSE,"Fair","Mid (11-25 yrs)",1.13680008349423,"High (≥40%)",TRUE
"Brian Fitzgerald","Holmesside",80432,420,18155,16,50,FALSE,"Poor","Mid (11-25 yrs)",0.225718619454943,"Moderate (20-40%)",FALSE
"Cindy Carr","Gonzalezberg",80019,375,30625,11,45,FALSE,"Poor","Mid (11-25 yrs)",0.38272160361914,"Moderate (20-40%)",FALSE
"Jill Miller","Elizabethland",108104,597,20657,10,70,TRUE,"Fair","Entry (0-10 yrs)",0.191084511211426,"Low (<20%)",FALSE
"Tammy Little","Williamville",91348,505,10101,15,50,FALSE,"Poor","Mid (11-25 yrs)",0.110577133598984,"Low (<20%)",FALSE
"Allison Spencer","Tannerside",99352,432,41104,5,35,FALSE,"Poor","Entry (0-10 yrs)",0.413720911506563,"High (≥40%)",TRUE
"James Love","Foxchester",62953,375,9213,20,45,FALSE,"Poor","Mid (11-25 yrs)",0.146347274951154,"Low (<20%)",FALSE
"Joanna Frazier","Davidside",102512,486,9456,27,60,TRUE,"Poor","Senior (26+ yrs)",0.0922428593725613,"Low (<20%)",FALSE
